Dep,tx pauv menages,Nvie median,Tx chomage,Diplomes sup 25 34,Sal moyen,dep rsa b,Nb menages fiscaux ,MF imposes ,Pop totale,Moyenne taxe habit,Tx fam monop,Pop en unite urbaine,Tx d'activite 25 64,Densite pop,Outre mer
Ille et Vilaine,"10,7",23690,"6,5","51,4",2337,110407822,470915,"53,6",1088855,"266,4","13,1","73,3",93,"160,7",N
Indre,"14,6",21270,"7,9","32,5",2038,33957040,102369,"45,1",218707,"111,9","14,5","54,9","90,8","32,2",N
Indre et Loire,"12,4",23140,"7,2","45,3",2330,86603637,268673,"52,7",612119,"221,1","14,2","76,8","92,8","99,9",N
Isere,"11,3",24270,"6,6","47,5",2536,140897494,535172,57,1277513,"232,4","14,6","81,2",92,"171,9",N
Jura,"11,2",23140,"5,8","37,3",2161,22799374,117083,"51,9",258798,"159,7","14,1","46,7","91,8","51,8",N
Landes,"11,4",22840,"7,7","37,7",2127,51294527,193430,"50,9",418122,"178,8",14,"62,9","92,2","45,2",N
Loir et Cher,"12,5",22510,"6,6","35,8",2192,46489514,149321,"51,2",329357,"154,2","13,3","57,5","91,8","51,9",N
Loire,15,21970,"7,9","40,4",2237,105590240,334427,"47,3",768508,"181,4","13,9","80,2","90,1","160,8",N
Haute Loire,"11,9",22100,"6,3","38,9",2066,19772794,103670,"45,5",227489,"114,7","12,1","49,2","92,7","45,7",N
Loire Atlantique,10,24120,"6,8","52,5",2423,102713066,630748,"56,1",1445171,"285,6","13,6","84,6","93,5","210,2",N
Loiret,"13,2",23090,"7,6","42,2",2344,25717188,293563,"55,3",682304,"212,9","14,9","74,9","91,9","100,7",N
Lot,"14,9",21910,8,"38,5",2084,61682311,80385,"46,8",174670,"131,2","13,1","39,5","92,3","33,5",N
Lot et Garonne,"16,8",21050,"7,9","33,7",2059,7454402,145205,"43,7",330844,"138,9","15,1","64,6",90,"61,7",N
Lozere,"14,9",21580,"5,2","42,9",1948,99301317,34028,"45,8",76633,88,"12,2",37,"91,8","14,8",N
Maine et Loire,"11,1",22500,"7,5",42,2173,46504258,346898,"48,7",820713,"174,1","12,2","82,9",94,"115,5",N
Manche,"11,4",22480,6,"35,9",2170,90990174,229811,"49,1",495093,"128,6",12,52,"92,4","83,2",N
Marne,"14,2",22830,"7,7","41,1",2318,26964225,244352,"53,1",566659,"220,9","15,7","66,5","90,9","69,4",N
Haute Marne,15,21350,"7,2",31,2051,22241111,78150,46,171798,"103,4","14,4","44,9","90,1","27,7",N
Mayenne,11,22230,"5,8","37,5",2112,137365786,131890,"47,3",306538,"146,2","10,5",51,"94,2","59,2",N
Meurthe et Moselle,"14,6",23010,"7,6","42,1",2273,30961540,312506,"49,4",732590,"261,8","16,5","76,8","89,9","139,7",N
Meuse,"14,2",21890,"7,4","32,4",2105,86950156,80164,47,183001,"119,8","14,8","41,2","90,2","29,5",N
Morbihan,"11,5",23140,"6,9","40,6",2177,164956573,354219,"51,5",764161,"180,7","12,9","68,4","92,1",112,N
